Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup
0073.jpg,75.548,6848x3856,10272x5784,13940.766666666668,654.0406666666667,21.68433333333333,67.0423,221.85233333333335,659.8136666666667,22.137
0074.jpg,76.393,6896x3872,10344x5808,14318.800000000001,657.8313333333334,21.926,68.57473333333333,223.65033333333335,650.6783333333333,23.223666666666663
0075.jpg,77.382,6928x3904,10392x5856,14529.199999999999,649.5500000000001,22.44066666666667,72.54453333333333,209.68633333333332,664.1023333333334,23.15733333333333
0076.jpg,78.237,6976x3920,10464x5880,14719.0,667.029,22.326999999999998,74.04180000000001,206.68566666666666,667.8996666666667,23.090333333333334
0077.jpg,78.917,7008x3936,10512x5904,14580.766666666668,681.2166666666667,21.541,73.4808,210.81166666666664,671.4183333333334,22.462
0078.jpg,80.104,7056x3968,10584x5952,15291.300000000001,673.253,23.041,71.6059,227.385,703.6026666666667,23.337666666666667
0079.jpg,80.791,7088x3984,10632x5976,15474.1,680.3896666666666,22.920333333333332,69.66313333333333,244.75066666666666,713.102,23.12566666666667
0080.jpg,81.992,7136x4016,10704x6024,15622.6,695.0123333333335,22.752,72.99006666666666,228.20966666666666,717.2133333333335,22.910666666666668
0081.jpg,82.688,7168x4032,10752x6048,15568.0,684.948,22.778666666666666,72.849,234.50900000000001,729.6346666666667,22.400000000000002
0082.jpg,83.572,7216x4048,10824x6072,15568.233333333332,722.947,21.876,74.08106666666667,223.08366666666666,713.6546666666667,22.846
0083.jpg,84.606,7248x4080,10872x6120,15975.800000000001,669.8973333333333,23.832666666666668,75.13786666666665,239.58533333333332,738.908,22.856666666666666
