Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,Megapixels,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup,baseline_throughput_MPps,openmp_throughput_MPps,cuda_throughput_MPps,mpi_throughput_MPps
0035.jpg,40.836,5040x2832,2520x1416,14.273,842.5543333333334,93.97403333333334,10.736666666666666,12.504800000000001,68.76233333333333,46.1686,18.230333333333334,16.94,151.882,1141.402,309.15
0036.jpg,41.822,5104x2864,2552x1432,14.618,854.4736666666668,92.01280000000001,10.418666666666667,12.3453,70.95133333333332,54.147166666666664,16.018333333333334,17.108,158.869,1184.094,269.968
0037.jpg,42.687,5152x2896,2576x1448,14.92,883.0986666666666,90.22566666666667,11.771333333333333,13.0981,68.451,54.4606,16.33966666666667,16.895,165.363,1139.097,273.96
0038.jpg,43.561,5200x2928,2600x1464,15.226,908.32,100.38246666666667,10.222333333333333,16.474999999999998,57.791333333333334,54.1865,17.484666666666666,16.763,151.68,924.188,280.992
0039.jpg,44.579,5264x2960,2632x1480,15.581,922.331,97.5605,10.696666666666667,13.290966666666668,70.49866666666667,59.51866666666666,15.438666666666668,16.893,159.706,1172.3,261.783
0040.jpg,45.472,5312x2992,2656x1496,15.894,925.0303333333333,104.34986666666667,9.775666666666666,14.276366666666666,65.29066666666667,53.025666666666666,17.659000000000002,17.182,152.315,1113.308,299.742
0041.jpg,46.373,5360x3024,2680x1512,16.209,942.4176666666667,97.98936666666667,12.014666666666665,13.913066666666666,69.49666666666667,54.64723333333333,17.187,17.199,165.416,1165.02,296.612
0042.jpg,47.424,5424x3056,2712x1528,16.576,958.14,106.51619999999998,10.473,14.5914,66.90033333333334,59.28613333333334,17.073333333333334,17.3,155.62,1136.012,279.593
0043.jpg,48.094,5472x3072,2736x1536,16.81,995.3256666666666,114.54243333333334,9.533333333333333,14.415266666666668,70.83266666666667,54.57916666666667,19.024,16.889,146.758,1166.125,307.993
0044.jpg,49.021,5520x3104,2760x1552,17.134,997.8603333333334,108.80499999999999,10.130333333333333,14.422833333333335,70.60033333333332,54.15473333333333,19.028666666666666,17.171,157.474,1187.977,316.39
0045.jpg,49.957,5568x3136,2784x1568,17.461,1009.9956666666667,114.54113333333333,10.181666666666667,14.978666666666667,69.573,53.190933333333334,19.357,17.288,152.443,1165.725,328.27
0046.jpg,51.047,5632x3168,2816x1584,17.842,1036.6643333333334,108.87533333333333,11.872666666666666,15.035199999999998,70.47733333333333,60.71896666666667,17.942666666666664,17.211,163.876,1186.682,293.846
0047.jpg,51.742,5680x3184,2840x1592,18.085,1057.703,119.48493333333334,9.806,14.830233333333334,73.256,60.857400000000005,17.31566666666667,17.098,151.358,1219.468,297.17
0048.jpg,52.704,5728x3216,2864x1608,18.421,1098.8366666666666,118.86130000000001,9.828999999999999,16.618066666666664,66.65033333333334,65.69976666666666,16.638333333333335,16.764,154.979,1108.492,280.382
0049.jpg,53.674,5776x3248,2888x1624,18.76,1093.3003333333334,128.03146666666666,9.431333333333333,15.4138,72.93666666666667,64.21176666666666,17.036666666666665,17.159,146.526,1217.091,292.158
0050.jpg,54.653,5824x3280,2912x1640,19.103,1130.8933333333332,113.2966,12.399000000000001,16.311566666666668,70.72633333333333,68.86686666666667,16.825666666666667,16.892,168.611,1171.132,277.39
0051.jpg,55.373,5872x3296,2936x1648,19.354,1134.0013333333334,120.48516666666667,10.422666666666666,17.228233333333332,65.86633333333333,61.9172,18.561333333333334,17.067,160.634,1123.389,312.579
0052.jpg,56.367,5920x3328,2960x1664,19.702,1159.056,121.61353333333334,11.922666666666666,16.20456666666667,73.56833333333334,66.79126666666667,18.781666666666666,16.998,162.005,1215.83,294.979
0053.jpg,57.371,5968x3360,2984x1680,20.052,1179.7766666666666,141.51536666666667,10.897,17.355533333333334,68.99900000000001,60.68666666666667,19.904666666666667,16.996,141.695,1155.366,330.419
0054.jpg,58.107,6016x3376,3008x1688,20.31,1213.4566666666667,134.55863333333335,11.722333333333333,16.6436,74.52133333333333,70.17243333333333,18.291666666666668,16.737,150.938,1220.289,289.43
0055.jpg,59.126,6064x3408,3032x1704,20.666,1220.4966666666667,122.19566666666667,12.128333333333332,17.360333333333333,72.53,72.05703333333334,17.803,16.932,169.122,1190.415,286.801
0056.jpg,60.154,6112x3440,3056x1720,21.025,1244.11,118.53653333333334,12.061666666666667,17.128466666666665,74.50566666666667,74.94796666666666,17.037000000000003,16.9,177.371,1227.489,280.528
0057.jpg,60.908,6160x3456,3080x1728,21.289,1243.4833333333333,111.78219999999999,13.282333333333334,19.31533333333333,64.62133333333334,71.684,17.284000000000002,17.12,190.451,1102.181,296.984
0058.jpg,61.792,6192x3488,3096x1744,21.598,1284.1833333333334,119.391,12.603,18.301666666666666,71.93233333333333,81.1307,16.486333333333334,16.818,180.901,1180.111,266.212
